observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
396	7	12	Big	Small	Left	4	8	8:4	Vague	few	0	1057
397	7	13	Big	Small	Left	5	9	5:9	Crisp	five	0	1119
398	7	14	Small	Big	Right	3	5	3:5	Crisp	five	0	874
399	7	15	Small	Big	Left	8	6	6:8	Vague	many	0	1023
400	7	16	Big	Big	Right	5	9	5:9	Crisp	nine	0	943
401	7	17	Small	Big	Right	2	4	2:4	Vague	many	0	1289
402	7	18	Big	Small	Right	9	5	5:9	Vague	few	0	1001
403	7	19	Small	Small	Left	6	8	6:8	Crisp	six	0	1145
404	7	20	Small	Big	Right	6	8	6:8	Crisp	eight	0	1723
405	7	21	Small	Small	Right	4	2	2:4	Crisp	two	0	776
406	7	22	Small	Small	Right	9	7	7:9	Vague	few	0	1216
407	7	23	Big	Small	Right	8	4	8:4	Vague	few	0	673
408	7	24	Small	Small	Left	3	5	3:5	Vague	few	0	684
409	7	25	Small	Small	Left	2	4	2:4	Vague	few	0	663
410	7	26	Big	Big	Left	6	2	2:6	Vague	many	1	900
411	7	27	Big	Small	Right	8	4	8:4	Crisp	four	0	1297
412	7	28	Small	Big	Left	4	2	2:4	Vague	many	0	1133
413	7	29	Small	Small	Right	8	6	6:8	Vague	few	0	1176
414	7	30	Big	Big	Left	7	3	7:3	Crisp	seven	0	810
415	7	31	Big	Small	Right	7	3	7:3	Crisp	three	0	656
416	7	32	Big	Small	Right	6	2	2:6	Crisp	two	0	620
417	7	33	Big	Big	Left	6	2	2:6	Crisp	six	0	714
418	7	34	Big	Small	Left	3	7	7:3	Vague	few	0	692
419	7	35	Small	Big	Left	5	3	3:5	Crisp	five	0	871
420	7	36	Big	Big	Right	3	7	7:3	Vague	many	0	739
421	7	37	Big	Big	Left	8	4	8:4	Vague	many	0	692
422	7	38	Small	Small	Right	8	6	6:8	Crisp	six	0	1198
423	7	39	Big	Big	Left	7	3	7:3	Vague	many	0	807
424	7	40	Big	Big	Right	2	6	2:6	Vague	many	0	654
425	7	41	Small	Big	Right	7	9	7:9	Vague	many	0	746
426	7	42	Small	Big	Left	9	7	7:9	Crisp	nine	0	1251
427	7	43	Small	Big	Right	2	4	2:4	Crisp	four	0	761
428	7	44	Small	Small	Right	4	2	2:4	Vague	few	0	1345
429	7	45	Small	Small	Right	9	7	7:9	Crisp	seven	0	972
430	7	46	Big	Big	Right	4	8	8:4	Crisp	eight	0	725
431	7	47	Big	Small	Left	5	9	5:9	Vague	few	0	896
432	7	48	Big	Big	Right	3	7	7:3	Crisp	seven	0	651
433	7	49	Big	Small	Left	3	7	7:3	Crisp	three	0	600
434	7	50	Small	Small	Left	3	5	3:5	Crisp	three	0	847
435	7	51	Small	Big	Right	6	8	6:8	Vague	many	0	739
436	7	52	Small	Small	Left	2	4	2:4	Crisp	two	0	638
437	7	53	Small	Big	Left	9	7	7:9	Vague	many	0	866
438	7	54	Small	Small	Right	5	3	3:5	Vague	few	0	1190
439	7	55	Big	Big	Right	5	9	5:9	Vague	many	0	775
440	7	56	Big	Small	Right	7	3	7:3	Vague	few	0	1144
441	7	57	Big	Small	Left	4	8	8:4	Crisp	four	0	780
442	7	58	Small	Small	Left	7	9	7:9	Vague	few	0	1040
443	7	59	Big	Big	Right	2	6	2:6	Crisp	six	0	686
444	7	60	Small	Big	Right	3	5	3:5	Vague	many	0	769
445	7	61	Small	Small	Right	5	3	3:5	Crisp	three	0	657
446	7	62	Small	Big	Left	4	2	2:4	Crisp	four	0	638
447	7	63	Big	Big	Left	9	5	5:9	Crisp	nine	0	931
448	7	64	Big	Small	Right	6	2	2:6	Vague	few	0	662
449	8	1	Small	Small	Left	7	9	7:9	Crisp	seven	0	20258
450	8	2	Small	Big	Left	5	3	3:5	Crisp	five	0	2797
451	8	3	Small	Small	Left	3	5	3:5	Crisp	three	0	1650
452	8	4	Big	Small	Left	2	6	2:6	Vague	few	0	2298
453	8	5	Big	Small	Right	9	5	5:9	Vague	few	0	4721
454	8	6	Small	Small	Right	9	7	7:9	Vague	few	0	5247
455	8	7	Small	Big	Right	2	4	2:4	Crisp	four	0	2201
456	8	8	Big	Big	Right	3	7	7:3	Vague	many	0	2756
457	8	9	Small	Big	Left	9	7	7:9	Vague	many	0	6378
458	8	10	Big	Small	Right	6	2	2:6	Vague	few	0	1421
459	8	11	Small	Small	Right	9	7	7:9	Crisp	seven	0	3931
460	8	12	Big	Big	Right	2	6	2:6	Crisp	six	0	2078
461	8	13	Big	Big	Right	5	9	5:9	Vague	many	0	2150
462	8	14	Small	Small	Left	3	5	3:5	Vague	few	0	1745
463	8	15	Big	Small	Left	4	8	8:4	Vague	few	0	1964
464	8	16	Big	Big	Right	5	9	5:9	Crisp	nine	0	6128
465	8	17	Small	Big	Left	4	2	2:4	Vague	many	0	2252
466	8	18	Big	Big	Right	2	6	2:6	Vague	many	0	6333
467	8	19	Small	Big	Right	3	5	3:5	Vague	many	0	3640
468	8	20	Big	Big	Left	9	5	5:9	Crisp	nine	0	4455
469	8	21	Big	Small	Right	8	4	8:4	Vague	few	0	3175
470	8	22	Small	Small	Left	6	8	6:8	Crisp	six	0	3301
471	8	23	Small	Big	Right	3	5	3:5	Crisp	five	0	2752
472	8	24	Big	Small	Left	5	9	5:9	Vague	few	0	3878
473	8	25	Big	Small	Left	2	6	2:6	Crisp	two	0	1234
474	8	26	Small	Big	Left	4	2	2:4	Crisp	four	0	2712
475	8	27	Small	Small	Left	7	9	7:9	Vague	few	0	4465
476	8	28	Big	Big	Left	7	3	7:3	Crisp	seven	0	2480
477	8	29	Small	Small	Left	2	4	2:4	Vague	few	0	1847
478	8	30	Big	Small	Right	9	5	5:9	Crisp	five	0	2543
479	8	31	Small	Big	Right	6	8	6:8	Vague	many	0	5380
480	8	32	Small	Small	Left	2	4	2:4	Crisp	two	0	1196
481	8	33	Big	Small	Left	3	7	7:3	Vague	few	0	3835
482	8	34	Small	Small	Right	4	2	2:4	Crisp	two	0	1993
483	8	35	Big	Big	Left	9	5	5:9	Vague	many	0	3908
484	8	36	Small	Small	Right	5	3	3:5	Vague	few	0	2583
485	8	37	Big	Big	Left	6	2	2:6	Crisp	six	0	1284
486	8	38	Big	Big	Left	7	3	7:3	Vague	many	0	4751
487	8	39	Small	Big	Left	5	3	3:5	Vague	many	0	2366
488	8	40	Big	Small	Left	4	8	8:4	Crisp	four	0	1322
489	8	41	Small	Big	Left	8	6	6:8	Vague	many	0	3142
490	8	42	Big	Small	Right	7	3	7:3	Crisp	three	0	1798
491	8	43	Small	Small	Right	5	3	3:5	Crisp	three	0	1320
492	8	44	Small	Big	Right	7	9	7:9	Vague	many	0	4346
493	8	45	Small	Big	Right	2	4	2:4	Vague	many	0	1959
494	8	46	Small	Big	Right	7	9	7:9	Crisp	nine	0	5738
495	8	47	Small	Small	Right	4	2	2:4	Vague	few	0	6842
496	8	48	Big	Big	Left	8	4	8:4	Vague	many	0	5491
497	8	49	Small	Big	Left	8	6	6:8	Crisp	eight	0	3821
498	8	50	Big	Big	Left	8	4	8:4	Crisp	eight	0	3701
499	8	51	Big	Big	Right	4	8	8:4	Crisp	eight	0	3145
500	8	52	Small	Big	Right	6	8	6:8	Crisp	eight	0	4816
501	8	53	Big	Small	Right	8	4	8:4	Crisp	four	0	1980
502	8	54	Big	Small	Left	5	9	5:9	Crisp	five	0	3253
503	8	55	Small	Small	Left	6	8	6:8	Vague	few	0	3610
504	8	56	Small	Small	Right	8	6	6:8	Crisp	six	0	2352
505	8	57	Big	Big	Right	4	8	8:4	Vague	many	0	3220
506	8	58	Big	Small	Right	6	2	2:6	Crisp	two	0	968
507	8	59	Small	Big	Left	9	7	7:9	Crisp	nine	0	4039
508	8	60	Big	Big	Left	6	2	2:6	Vague	many	0	2326
509	8	61	Big	Small	Left	3	7	7:3	Crisp	three	0	2908
510	8	62	Big	Big	Right	3	7	7:3	Crisp	seven	0	2611
511	8	63	Small	Small	Right	8	6	6:8	Vague	few	0	3598
512	8	64	Big	Small	Right	7	3	7:3	Vague	few	0	2090
513	9	1	Big	Big	Left	8	4	8:4	Crisp	eight	0	2307
514	9	2	Big	Big	Right	5	9	5:9	Crisp	nine	0	4042
515	9	3	Small	Small	Left	6	8	6:8	Crisp	six	0	1771
516	9	4	Small	Big	Right	3	5	3:5	Vague	many	0	1759
517	9	5	Big	Small	Left	5	9	5:9	Crisp	five	0	1878
518	9	6	Big	Small	Left	3	7	7:3	Vague	few	0	1342
519	9	7	Big	Big	Left	9	5	5:9	Crisp	nine	0	2736
520	9	8	Small	Small	Left	6	8	6:8	Vague	few	0	4088
521	9	9	Small	Big	Left	5	3	3:5	Vague	many	0	1862
522	9	10	Big	Big	Right	2	6	2:6	Crisp	six	0	2285
523	9	11	Big	Big	Left	6	2	2:6	Vague	many	0	1821
524	9	12	Big	Small	Left	2	6	2:6	Crisp	two	0	1038
525	9	13	Big	Small	Left	3	7	7:3	Crisp	three	0	898
526	9	14	Big	Small	Left	4	8	8:4	Crisp	four	0	987
527	9	15	Small	Big	Left	4	2	2:4	Crisp	four	0	1705
528	9	16	Big	Big	Left	6	2	2:6	Crisp	six	0	2286
529	9	17	Small	Small	Left	3	5	3:5	Crisp	three	0	1333
530	9	18	Small	Small	Right	9	7	7:9	Crisp	seven	0	3215
531	9	19	Small	Big	Right	3	5	3:5	Crisp	five	0	1605
532	9	20	Big	Small	Left	5	9	5:9	Vague	few	0	1734
533	9	21	Small	Small	Right	5	3	3:5	Vague	few	0	1523
534	9	22	Big	Big	Right	3	7	7:3	Vague	many	0	1405
535	9	23	Small	Small	Left	2	4	2:4	Vague	few	0	1060
536	9	24	Big	Small	Right	6	2	2:6	Vague	few	0	1472
537	9	25	Small	Big	Right	2	4	2:4	Crisp	four	0	1502
538	9	26	Big	Big	Right	2	6	2:6	Vague	many	0	1299
539	9	27	Small	Small	Right	8	6	6:8	Vague	few	0	5432
540	9	28	Small	Big	Left	8	6	6:8	Crisp	eight	0	4174
541	9	29	Small	Small	Right	8	6	6:8	Crisp	six	0	1993
542	9	30	Small	Big	Left	4	2	2:4	Vague	many	0	1331
543	9	31	Small	Small	Left	3	5	3:5	Vague	few	0	1524
544	9	32	Small	Small	Right	4	2	2:4	Crisp	two	0	1079
545	9	33	Small	Big	Left	9	7	7:9	Vague	many	0	6548
546	9	34	Big	Small	Right	8	4	8:4	Vague	few	0	1136
547	9	35	Small	Small	Left	2	4	2:4	Crisp	two	0	810
548	9	36	Small	Big	Left	8	6	6:8	Vague	many	0	5048
549	9	37	Big	Small	Right	9	5	5:9	Crisp	five	0	1266
550	9	38	Big	Big	Left	7	3	7:3	Crisp	seven	0	1951
551	9	39	Small	Small	Right	9	7	7:9	Vague	few	0	6203
552	9	40	Big	Small	Right	7	3	7:3	Vague	few	0	1116
553	9	41	Big	Small	Right	9	5	5:9	Vague	few	0	1095
554	9	42	Small	Small	Right	4	2	2:4	Vague	few	0	946
555	9	43	Small	Small	Left	7	9	7:9	Vague	few	0	3173
556	9	44	Small	Big	Right	2	4	2:4	Vague	many	0	1427
557	9	45	Big	Big	Right	4	8	8:4	Crisp	eight	0	2763
558	9	46	Big	Big	Right	5	9	5:9	Vague	many	0	1106
559	9	47	Small	Big	Left	9	7	7:9	Crisp	nine	0	3279
560	9	48	Big	Big	Right	3	7	7:3	Crisp	seven	0	834
561	9	49	Small	Big	Right	6	8	6:8	Vague	many	0	3640
562	9	50	Small	Big	Left	5	3	3:5	Crisp	five	0	1511
563	9	51	Big	Small	Left	4	8	8:4	Vague	few	0	2251
564	9	52	Small	Big	Right	6	8	6:8	Crisp	eight	0	3229
565	9	53	Big	Small	Right	6	2	2:6	Crisp	two	0	1099
566	9	54	Small	Small	Left	7	9	7:9	Crisp	seven	0	2503
567	9	55	Small	Big	Right	7	9	7:9	Crisp	nine	0	2710
568	9	56	Small	Big	Right	7	9	7:9	Vague	many	0	1591
569	9	57	Big	Small	Right	7	3	7:3	Crisp	three	0	1230
570	9	58	Big	Small	Left	2	6	2:6	Vague	few	0	1539
571	9	59	Big	Small	Right	8	4	8:4	Crisp	four	0	1565
572	9	60	Big	Big	Right	4	8	8:4	Vague	many	0	1217
573	9	61	Big	Big	Left	7	3	7:3	Vague	many	0	1416
574	9	62	Big	Big	Left	8	4	8:4	Vague	many	0	2222
575	9	63	Big	Big	Left	9	5	5:9	Vague	many	0	1736
576	9	64	Small	Small	Right	5	3	3:5	Crisp	three	0	1574
577	10	1	Big	Big	Left	7	3	7:3	Vague	many	0	807
578	10	2	Big	Small	Right	6	2	2:6	Vague	few	0	669
579	10	3	Small	Big	Left	4	2	2:4	Vague	many	0	666
580	10	4	Small	Small	Left	2	4	2:4	Vague	few	0	957
581	10	5	Big	Big	Left	9	5	5:9	Crisp	nine	0	928
582	10	6	Big	Big	Right	4	8	8:4	Crisp	eight	0	1401
583	10	7	Big	Small	Right	7	3	7:3	Vague	few	0	1188
584	10	8	Small	Small	Right	5	3	3:5	Vague	few	0	1054
585	10	9	Big	Small	Right	7	3	7:3	Crisp	three	0	820
586	10	10	Small	Big	Right	2	4	2:4	Vague	many	0	790
587	10	11	Big	Big	Right	5	9	5:9	Crisp	nine	0	975
588	10	12	Small	Small	Left	2	4	2:4	Crisp	two	0	603
589	10	13	Small	Small	Left	7	9	7:9	Vague	few	0	953
590	10	14	Small	Small	Right	9	7	7:9	Crisp	seven	0	3906
591	10	15	Big	Small	Right	6	2	2:6	Crisp	two	0	983
592	10	16	Big	Big	Right	2	6	2:6	Vague	many	0	1216
593	10	17	Small	Big	Right	7	9	7:9	Vague	many	0	5057
594	10	18	Small	Big	Left	9	7	7:9	Vague	many	0	3710
595	10	19	Small	Big	Right	6	8	6:8	Crisp	eight	0	1060
596	10	20	Small	Small	Left	3	5	3:5	Crisp	three	0	1482
597	10	21	Small	Small	Right	9	7	7:9	Vague	few	0	1367
598	10	22	Big	Small	Left	4	8	8:4	Vague	few	0	1170
599	10	23	Small	Big	Left	9	7	7:9	Crisp	nine	0	1538
600	10	24	Small	Big	Right	7	9	7:9	Crisp	nine	0	1246
601	10	25	Big	Big	Left	8	4	8:4	Vague	many	0	1431
602	10	26	Small	Small	Left	3	5	3:5	Vague	few	0	1790
603	10	27	Small	Small	Left	6	8	6:8	Crisp	six	0	1282
604	10	28	Small	Small	Left	6	8	6:8	Vague	few	0	3702
605	10	29	Big	Small	Left	3	7	7:3	Crisp	three	0	874
606	10	30	Big	Small	Right	9	5	5:9	Crisp	five	0	1095
607	10	31	Small	Big	Right	2	4	2:4	Crisp	four	0	924
608	10	32	Small	Small	Right	4	2	2:4	Crisp	two	0	678
609	10	33	Big	Small	Right	9	5	5:9	Vague	few	0	1225
610	10	34	Big	Small	Right	8	4	8:4	Crisp	four	0	792
611	10	35	Big	Small	Left	3	7	7:3	Vague	few	0	776
612	10	36	Small	Big	Left	4	2	2:4	Crisp	four	0	1142
613	10	37	Big	Small	Left	2	6	2:6	Vague	few	0	1081
614	10	38	Big	Big	Left	6	2	2:6	Crisp	six	0	1389
615	10	39	Small	Small	Right	4	2	2:4	Vague	few	0	965
616	10	40	Big	Big	Right	3	7	7:3	Crisp	seven	0	1302
617	10	41	Big	Big	Left	8	4	8:4	Crisp	eight	0	1148
618	10	42	Big	Big	Right	5	9	5:9	Vague	many	0	1326
619	10	43	Big	Small	Left	5	9	5:9	Vague	few	0	1081
620	10	44	Big	Small	Left	2	6	2:6	Crisp	two	0	917
621	10	45	Big	Big	Left	6	2	2:6	Vague	many	0	1102
622	10	46	Big	Big	Right	2	6	2:6	Crisp	six	0	714
623	10	47	Small	Big	Left	5	3	3:5	Vague	many	0	971
624	10	48	Small	Big	Right	6	8	6:8	Vague	many	0	1164
625	10	49	Small	Small	Right	5	3	3:5	Crisp	three	0	918
626	10	50	Small	Big	Right	3	5	3:5	Crisp	five	0	1400
627	10	51	Big	Big	Left	7	3	7:3	Crisp	seven	0	818
628	10	52	Big	Big	Right	3	7	7:3	Vague	many	0	815
629	10	53	Small	Small	Right	8	6	6:8	Vague	few	0	1565
630	10	54	Big	Small	Left	4	8	8:4	Crisp	four	0	801
631	10	55	Big	Small	Left	5	9	5:9	Crisp	five	0	1216
632	10	56	Small	Big	Left	8	6	6:8	Crisp	eight	0	1573
633	10	57	Big	Big	Left	9	5	5:9	Vague	many	0	810
634	10	58	Small	Small	Left	7	9	7:9	Crisp	seven	0	1144
635	10	59	Small	Big	Right	3	5	3:5	Vague	many	0	1135
636	10	60	Small	Small	Right	8	6	6:8	Crisp	six	0	1499
637	10	61	Big	Big	Right	4	8	8:4	Vague	many	0	1001
638	10	62	Small	Big	Left	8	6	6:8	Vague	many	0	1008
639	10	63	Big	Small	Right	8	4	8:4	Vague	few	0	639
640	10	64	Small	Big	Left	5	3	3:5	Crisp	five	0	1036
641	11	1	Small	Big	Left	4	2	2:4	Vague	many	0	2093
642	11	2	Big	Small	Right	8	4	8:4	Crisp	four	0	1827
643	11	3	Small	Big	Left	9	7	7:9	Crisp	nine	1	2235
644	11	4	Big	Small	Left	5	9	5:9	Crisp	five	0	1803
645	11	5	Small	Big	Left	8	6	6:8	Crisp	eight	1	3875
646	11	6	Big	Big	Right	3	7	7:3	Crisp	seven	0	1917
647	11	7	Big	Big	Right	3	7	7:3	Vague	many	0	1585
648	11	8	Small	Small	Right	8	6	6:8	Crisp	six	0	2568
649	11	9	Big	Big	Left	6	2	2:6	Crisp	six	0	1567
650	11	10	Big	Small	Left	2	6	2:6	Crisp	two	0	1190
651	11	11	Big	Small	Left	4	8	8:4	Crisp	four	0	1317
652	11	12	Big	Small	Right	6	2	2:6	Vague	few	0	1605
653	11	13	Small	Big	Right	7	9	7:9	Crisp	nine	0	5567
654	11	14	Big	Big	Right	5	9	5:9	Vague	many	0	1510
655	11	15	Big	Small	Left	2	6	2:6	Vague	few	0	1592
656	11	16	Big	Big	Left	6	2	2:6	Vague	many	0	2479
657	11	17	Big	Big	Left	7	3	7:3	Vague	many	0	1709
658	11	18	Big	Big	Right	2	6	2:6	Crisp	six	0	1679
659	11	19	Small	Small	Left	2	4	2:4	Crisp	two	0	907
660	11	20	Big	Big	Right	4	8	8:4	Vague	many	0	1188
661	11	21	Big	Small	Right	9	5	5:9	Crisp	five	0	1873
662	11	22	Big	Big	Left	8	4	8:4	Crisp	eight	0	1456
663	11	23	Small	Small	Left	6	8	6:8	Crisp	six	0	1436
664	11	24	Big	Big	Left	9	5	5:9	Crisp	nine	0	1361
665	11	25	Small	Small	Right	4	2	2:4	Crisp	two	0	872
666	11	26	Small	Small	Left	7	9	7:9	Crisp	seven	0	2601
667	11	27	Small	Big	Right	6	8	6:8	Vague	many	0	4229
668	11	28	Big	Big	Right	4	8	8:4	Crisp	eight	0	1406
669	11	29	Small	Small	Right	9	7	7:9	Crisp	seven	0	2955
670	11	30	Big	Big	Right	5	9	5:9	Crisp	nine	0	1898
671	11	31	Small	Small	Right	5	3	3:5	Crisp	three	0	1023
672	11	32	Big	Small	Left	3	7	7:3	Vague	few	0	1306
673	11	33	Small	Big	Right	3	5	3:5	Crisp	five	0	1739
674	11	34	Big	Small	Right	7	3	7:3	Crisp	three	0	1525
675	11	35	Small	Big	Right	6	8	6:8	Crisp	eight	0	2503
676	11	36	Small	Big	Right	2	4	2:4	Vague	many	0	1236
677	11	37	Big	Big	Left	7	3	7:3	Crisp	seven	0	1160
678	11	38	Small	Small	Left	2	4	2:4	Vague	few	0	1997
679	11	39	Small	Big	Right	3	5	3:5	Vague	many	0	1545
680	11	40	Small	Big	Right	7	9	7:9	Vague	many	0	1985
681	11	41	Big	Small	Left	5	9	5:9	Vague	few	0	1370
682	11	42	Small	Big	Left	5	3	3:5	Crisp	five	0	2016
683	11	43	Small	Small	Left	3	5	3:5	Vague	few	0	1047
684	11	44	Small	Small	Right	8	6	6:8	Vague	few	0	2273
685	11	45	Big	Small	Left	4	8	8:4	Vague	few	0	1688
686	11	46	Big	Small	Right	6	2	2:6	Crisp	two	0	899
687	11	47	Big	Big	Left	8	4	8:4	Vague	many	0	2227
688	11	48	Small	Big	Left	8	6	6:8	Vague	many	0	1106
689	11	49	Small	Big	Left	5	3	3:5	Vague	many	0	1547
690	11	50	Big	Big	Left	9	5	5:9	Vague	many	0	1396
691	11	51	Small	Small	Right	9	7	7:9	Vague	few	0	2202
692	11	52	Big	Big	Right	2	6	2:6	Vague	many	0	1650
693	11	53	Small	Big	Left	9	7	7:9	Vague	many	0	1182
694	11	54	Small	Small	Left	6	8	6:8	Vague	few	0	1701
695	11	55	Small	Small	Left	3	5	3:5	Crisp	three	0	1104
696	11	56	Small	Big	Left	4	2	2:4	Crisp	four	0	1218
697	11	57	Small	Small	Right	5	3	3:5	Vague	few	1	950
698	11	58	Small	Small	Right	4	2	2:4	Vague	few	0	3154
699	11	59	Big	Small	Right	8	4	8:4	Vague	few	0	1189
700	11	60	Small	Big	Right	2	4	2:4	Crisp	four	0	1377
701	11	61	Big	Small	Right	9	5	5:9	Vague	few	0	1584
702	11	62	Big	Small	Right	7	3	7:3	Vague	few	0	822
703	11	63	Big	Small	Left	3	7	7:3	Crisp	three	0	825
704	11	64	Small	Small	Left	7	9	7:9	Vague	few	0	3929
705	12	1	Small	Big	Left	8	6	6:8	Vague	many	0	1499
706	12	2	Big	Big	Left	6	2	2:6	Crisp	six	0	1431
707	12	3	Big	Big	Right	2	6	2:6	Crisp	six	0	1093
708	12	4	Big	Big	Right	3	7	7:3	Crisp	seven	0	1783
709	12	5	Small	Small	Right	9	7	7:9	Crisp	seven	0	2761
710	12	6	Small	Small	Left	3	5	3:5	Crisp	three	0	1080
711	12	7	Small	Big	Right	7	9	7:9	Vague	many	0	2580
712	12	8	Small	Small	Right	5	3	3:5	Vague	few	0	1273
713	12	9	Small	Big	Left	5	3	3:5	Crisp	five	0	1399
714	12	10	Small	Big	Right	7	9	7:9	Crisp	nine	0	1357
715	12	11	Big	Small	Left	5	9	5:9	Crisp	five	0	1247
716	12	12	Big	Big	Right	5	9	5:9	Vague	many	0	2003
717	12	13	Small	Big	Right	2	4	2:4	Vague	many	0	1541
718	12	14	Big	Small	Left	4	8	8:4	Crisp	four	0	1072
719	12	15	Small	Small	Left	2	4	2:4	Crisp	two	0	1162
720	12	16	Small	Small	Right	4	2	2:4	Crisp	two	0	1180
721	12	17	Small	Small	Right	9	7	7:9	Vague	few	0	2524
722	12	18	Big	Small	Right	6	2	2:6	Crisp	two	0	1259
723	12	19	Big	Small	Left	2	6	2:6	Vague	few	1	1799
724	12	20	Small	Small	Left	6	8	6:8	Crisp	six	0	3029
725	12	21	Small	Big	Right	3	5	3:5	Vague	many	0	2073
726	12	22	Small	Small	Right	8	6	6:8	Vague	few	0	1631
727	12	23	Small	Big	Left	9	7	7:9	Crisp	nine	0	2446
728	12	24	Big	Small	Right	8	4	8:4	Vague	few	0	2169
729	12	25	Big	Big	Left	6	2	2:6	Vague	many	0	1157
730	12	26	Small	Small	Left	3	5	3:5	Vague	few	0	1838
731	12	27	Small	Big	Left	8	6	6:8	Crisp	eight	0	2164
732	12	28	Big	Small	Right	8	4	8:4	Crisp	four	0	1016
733	12	29	Big	Big	Right	2	6	2:6	Vague	many	0	957
734	12	30	Small	Small	Left	6	8	6:8	Vague	few	0	1389
735	12	31	Small	Small	Right	5	3	3:5	Crisp	three	0	757
736	12	32	Small	Small	Right	4	2	2:4	Vague	few	1	3338
737	12	33	Big	Small	Left	3	7	7:3	Crisp	three	0	1246
738	12	34	Small	Small	Right	8	6	6:8	Crisp	six	0	1771
739	12	35	Big	Small	Left	4	8	8:4	Vague	few	0	1133
740	12	36	Big	Big	Right	4	8	8:4	Crisp	eight	0	1636
741	12	37	Big	Big	Left	7	3	7:3	Crisp	seven	0	860
742	12	38	Small	Big	Right	6	8	6:8	Crisp	eight	0	1631
743	12	39	Big	Big	Right	5	9	5:9	Crisp	nine	0	1213
744	12	40	Small	Small	Left	7	9	7:9	Crisp	seven	0	1117
745	12	41	Big	Big	Right	4	8	8:4	Vague	many	0	1032
746	12	42	Big	Big	Left	7	3	7:3	Vague	many	0	789
747	12	43	Big	Small	Right	9	5	5:9	Crisp	five	0	875
748	12	44	Big	Big	Left	8	4	8:4	Crisp	eight	0	1806
749	12	45	Big	Big	Left	9	5	5:9	Vague	many	0	1079
750	12	46	Big	Small	Right	6	2	2:6	Vague	few	0	1146
751	12	47	Small	Small	Left	2	4	2:4	Vague	few	0	2332
752	12	48	Big	Small	Right	9	5	5:9	Vague	few	0	1240
753	12	49	Big	Big	Left	8	4	8:4	Vague	many	0	1573
754	12	50	Big	Big	Left	9	5	5:9	Crisp	nine	0	1078
755	12	51	Big	Big	Right	3	7	7:3	Vague	many	0	993
756	12	52	Big	Small	Right	7	3	7:3	Vague	few	0	1640
757	12	53	Small	Big	Right	3	5	3:5	Crisp	five	0	1144
758	12	54	Small	Big	Right	2	4	2:4	Crisp	four	0	961
759	12	55	Small	Big	Left	4	2	2:4	Crisp	four	0	1145
760	12	56	Big	Small	Left	2	6	2:6	Crisp	two	0	954
761	12	57	Big	Small	Left	5	9	5:9	Vague	few	0	1994
762	12	58	Small	Big	Left	9	7	7:9	Vague	many	0	842
763	12	59	Small	Big	Left	5	3	3:5	Vague	many	0	1678
764	12	60	Small	Big	Left	4	2	2:4	Vague	many	0	1477
765	12	61	Small	Big	Right	6	8	6:8	Vague	many	0	1281
766	12	62	Small	Small	Left	7	9	7:9	Vague	few	0	3078
767	12	63	Big	Small	Left	3	7	7:3	Vague	few	0	1040
768	12	64	Big	Small	Right	7	3	7:3	Crisp	three	0	844
769	13	1	Big	Small	Right	7	3	7:3	Vague	few	0	1583
770	13	2	Big	Big	Left	7	3	7:3	Vague	many	0	1459
771	13	3	Big	Big	Left	6	2	2:6	Crisp	six	0	888
772	13	4	Big	Big	Left	9	5	5:9	Crisp	nine	0	1939
773	13	5	Small	Big	Right	2	4	2:4	Vague	many	0	1142
774	13	6	Big	Big	Left	8	4	8:4	Vague	many	0	1625
775	13	7	Small	Small	Left	7	9	7:9	Crisp	seven	0	2216
776	13	8	Small	Big	Left	9	7	7:9	Crisp	nine	0	3842
777	13	9	Small	Small	Right	5	3	3:5	Vague	few	0	1113
778	13	10	Small	Small	Left	2	4	2:4	Vague	few	0	1158
779	13	11	Big	Big	Right	5	9	5:9	Crisp	nine	0	1469
780	13	12	Big	Small	Left	5	9	5:9	Crisp	five	0	1807
781	13	13	Small	Big	Right	3	5	3:5	Crisp	five	0	1206
782	13	14	Big	Big	Left	8	4	8:4	Crisp	eight	0	997
783	13	15	Small	Small	Left	3	5	3:5	Vague	few	0	929
784	13	16	Big	Small	Right	9	5	5:9	Crisp	five	0	896
785	13	17	Big	Small	Left	2	6	2:6	Vague	few	0	1043
786	13	18	Small	Big	Left	8	6	6:8	Vague	many	0	1847
787	13	19	Small	Big	Right	6	8	6:8	Vague	many	0	2854
788	13	20	Small	Big	Right	3	5	3:5	Vague	many	0	1258
789	13	21	Small	Big	Left	5	3	3:5	Crisp	five	0	1142
790	13	22	Small	Small	Right	8	6	6:8	Vague	few	0	1461
791	13	23	Big	Small	Left	4	8	8:4	Crisp	four	0	1038
792	13	24	Small	Small	Left	7	9	7:9	Vague	few	0	1953
793	13	25	Big	Small	Right	9	5	5:9	Vague	few	0	1221
794	13	26	Small	Small	Left	6	8	6:8	Vague	few	0	1389
795	13	27	Big	Small	Left	2	6	2:6	Crisp	two	0	741
796	13	28	Small	Small	Right	9	7	7:9	Crisp	seven	0	1212
797	13	29	Big	Big	Right	3	7	7:3	Vague	many	0	1036
798	13	30	Small	Big	Left	4	2	2:4	Vague	many	0	1121
799	13	31	Small	Small	Left	6	8	6:8	Crisp	six	0	1500
