5	30	25	V	L	many	20	744	1
7	25	40	V	R	many	20	582	1
8	25	45	P	R	45	20	696	1
8	45	25	V	L	many	20	566	1
6	25	35	P	R	35	20	661	1
4	25	20	V	R	few	20	710	1
3	25	15	P	R	15	20	1046	1
7	40	25	P	L	40	20	1585	0
8	45	25	P	L	45	20	725	1
4	25	20	P	R	20	20	672	0
2	25	10	P	R	10	20	611	0
1	5	25	P	L	5	20	598	1
4	20	25	P	L	20	20	508	1
5	30	25	P	L	30	20	881	0
7	40	25	V	L	many	20	976	1
1	25	5	P	R	5	20	461	1
6	35	25	P	L	35	20	679	0
5	25	30	P	R	30	20	511	0
3	25	15	V	R	few	20	630	1
4	20	25	V	L	few	20	574	1
6	25	35	V	R	many	20	442	1
1	25	5	V	R	few	20	400	1
3	15	25	P	L	15	20	651	1
2	10	25	P	L	10	20	431	1
8	25	45	V	R	many	20	385	1
2	25	10	V	R	few	20	463	1
7	25	40	P	R	40	20	474	1
1	5	25	V	L	few	20	376	1
5	25	30	V	R	many	20	461	1
2	10	25	V	L	few	20	401	1
3	15	25	V	L	few	20	343	1
6	35	25	V	L	many	20	639	1
1	5	25	P	L	5	20	439	1
5	30	25	P	L	30	20	713	0
7	40	25	V	L	many	20	420	1
8	45	25	V	L	many	20	409	1
5	25	30	P	R	30	20	701	1
6	35	25	P	L	35	20	559	1
4	20	25	V	L	few	20	649	1
4	20	25	P	L	20	20	699	0
2	25	10	V	R	few	20	449	1
8	25	45	V	R	many	20	479	1
2	25	10	P	R	10	20	775	1
3	15	25	P	L	15	20	642	1
7	25	40	P	R	40	20	433	1
6	25	35	V	R	many	20	408	1
7	25	40	V	R	many	20	397	1
3	25	15	P	R	15	20	855	1
8	45	25	P	L	45	20	435	1
6	35	25	V	L	many	20	496	1
3	15	25	V	L	few	20	404	1
2	10	25	P	L	10	20	394	1
2	10	25	V	L	few	20	366	1
1	5	25	V	L	few	20	356	1
5	30	25	V	L	many	20	853	1
1	25	5	P	R	5	20	400	1
7	40	25	P	L	40	20	364	1
6	25	35	P	R	35	20	612	1
5	25	30	V	R	many	20	621	1
8	25	45	P	R	45	20	495	1
4	25	20	P	R	20	20	550	1
4	25	20	V	R	few	20	769	1
1	25	5	V	R	few	20	471	1
3	25	15	V	R	few	20	681	1
1	5	25	P	L	5	20	384	1
2	25	10	V	R	few	20	407	1
7	40	25	P	L	40	20	550	1
1	25	5	P	R	5	20	351	1
6	25	35	V	R	many	20	455	1
1	5	25	V	L	few	20	391	1
7	25	40	V	R	many	20	447	1
3	25	15	P	R	15	20	525	1
6	25	35	P	R	35	20	660	1
4	20	25	V	L	few	20	464	1
2	25	10	P	R	10	20	682	1
2	10	25	V	L	few	20	360	1
7	40	25	V	L	many	20	604	1
1	25	5	V	R	few	20	455	1
5	25	30	V	R	many	20	606	1
7	25	40	P	R	40	20	413	1
4	20	25	P	L	20	20	839	0
8	25	45	P	R	45	20	378	1
5	30	25	V	L	many	20	571	1
8	45	25	V	L	many	20	390	1
8	25	45	V	R	many	20	586	1
2	10	25	P	L	10	20	591	1
8	45	25	P	L	45	20	409	1
3	15	25	P	L	15	20	432	1
3	15	25	V	L	few	20	417	1
5	25	30	P	R	30	20	507	0
3	25	15	V	R	few	20	439	1
4	25	20	V	R	few	20	390	0
6	35	25	V	L	many	20	540	0
6	35	25	P	L	35	20	455	0
4	25	20	P	R	20	20	496	0
5	30	25	P	L	30	20	565	0
3	25	15	V	R	few	20	517	1
1	5	25	P	L	5	20	373	1
4	25	20	P	R	20	20	606	1
1	25	5	V	R	few	20	381	1
2	10	25	P	L	10	20	375	1
7	25	40	V	R	many	20	394	1
8	25	45	P	R	45	20	372	1
5	30	25	V	L	many	20	673	1
2	25	10	P	R	10	20	446	1
1	25	5	P	R	5	20	301	1
2	25	10	V	R	few	20	404	1
5	25	30	P	R	30	20	678	1
2	10	25	V	L	few	20	468	1
5	30	25	P	L	30	20	751	1
3	25	15	P	R	15	20	501	1
4	25	20	V	R	few	20	338	1
8	45	25	P	L	45	20	349	1
6	25	35	V	R	many	20	471	1
5	25	30	V	R	many	20	566	1
7	25	40	P	R	40	20	380	1
1	5	25	V	L	few	20	340	1
4	20	25	V	L	few	20	488	0
6	25	35	P	R	35	20	453	1
7	40	25	P	L	40	20	449	1
6	35	25	V	L	many	20	437	1
3	15	25	V	L	few	20	435	1
3	15	25	P	L	15	20	396	1
4	20	25	P	L	20	20	505	1
6	35	25	P	L	35	20	636	1
8	25	45	V	R	many	20	479	1
8	45	25	V	L	many	20	463	1
7	40	25	V	L	many	20	364	1
2	10	25	V	L	few	20	381	1
4	20	25	P	L	20	20	643	1
4	25	20	V	R	few	20	428	0
1	5	25	V	L	few	20	400	1
2	25	10	V	R	few	20	407	1
1	25	5	P	R	5	20	332	1
5	30	25	V	L	many	20	672	1
2	25	10	P	R	10	20	395	1
7	40	25	V	L	many	20	317	1
8	45	25	V	L	many	20	368	1
3	15	25	V	L	few	20	448	1
6	35	25	V	L	many	20	431	1
3	25	15	P	R	15	20	585	1
7	25	40	P	R	40	20	458	1
5	25	30	V	R	many	20	791	0
4	20	25	V	L	few	20	496	1
5	25	30	P	R	30	20	718	1
4	25	20	P	R	20	20	757	1
5	30	25	P	L	30	20	603	1
2	10	25	P	L	10	20	685	1
3	25	15	V	R	few	20	534	1
6	25	35	P	R	35	20	559	1
6	35	25	P	L	35	20	463	1
8	25	45	P	R	45	20	381	1
6	25	35	V	R	many	20	453	1
3	15	25	P	L	15	20	487	1
7	25	40	V	R	many	20	341	1
7	40	25	P	L	40	20	412	1
1	5	25	P	L	5	20	343	1
1	25	5	V	R	few	20	346	1
8	25	45	V	R	many	20	445	1
8	45	25	P	L	45	20	405	1
4	20	25	V	L	few	20	529	1
2	10	25	P	L	10	20	338	1
7	40	25	P	L	40	20	481	1
2	25	10	V	R	few	20	443	1
5	30	25	V	L	many	20	609	1
3	15	25	V	L	few	20	381	1
5	25	30	V	R	many	20	527	1
1	25	5	V	R	few	20	370	1
7	25	40	V	R	many	20	457	1
7	40	25	V	L	many	20	367	1
3	25	15	P	R	15	20	806	0
2	25	10	P	R	10	20	382	1
4	20	25	P	L	20	20	604	1
8	25	45	P	R	45	20	361	1
6	35	25	V	L	many	20	370	1
3	25	15	V	R	few	20	396	1
7	25	40	P	R	40	20	398	1
1	25	5	P	R	5	20	367	1
6	25	35	P	R	35	20	520	1
8	45	25	P	L	45	20	408	1
2	10	25	V	L	few	20	394	1
3	15	25	P	L	15	20	335	1
5	25	30	P	R	30	20	531	0
1	5	25	P	L	5	20	313	1
4	25	20	P	R	20	20	625	1
6	35	25	P	L	35	20	623	1
4	25	20	V	R	few	20	725	1
1	5	25	V	L	few	20	412	1
8	25	45	V	R	many	20	370	1
8	45	25	V	L	many	20	407	1
6	25	35	V	R	many	20	430	1
5	30	25	P	L	30	20	407	1
3	15	25	P	L	15	20	402	1
7	40	25	V	L	many	20	404	1
7	25	40	V	R	many	20	482	1
6	25	35	P	R	35	20	564	1
8	45	25	P	L	45	20	386	1
7	25	40	P	R	40	20	386	1
5	25	30	P	R	30	20	789	0
4	20	25	P	L	20	20	587	0
4	20	25	V	L	few	20	599	1
2	10	25	V	L	few	20	344	1
1	25	5	V	R	few	20	375	1
1	25	5	P	R	5	20	347	1
1	5	25	V	L	few	20	365	1
8	45	25	V	L	many	20	450	0
8	25	45	V	R	many	20	381	1
3	25	15	V	R	few	20	437	1
6	35	25	P	L	35	20	469	1
5	30	25	P	L	30	20	600	1
3	15	25	V	L	few	20	438	1
2	25	10	V	R	few	20	341	1
6	25	35	V	R	many	20	591	1
8	25	45	P	R	45	20	368	1
5	30	25	V	L	many	20	391	1
3	25	15	P	R	15	20	581	0
2	25	10	P	R	10	20	372	1
6	35	25	V	L	many	20	343	1
4	25	20	P	R	20	20	715	0
2	10	25	P	L	10	20	396	1
7	40	25	P	L	40	20	404	1
5	25	30	V	R	many	20	668	0
1	5	25	P	L	5	20	283	1
4	25	20	V	R	few	20	600	1
8	45	25	P	L	45	20	388	1
3	15	25	P	L	15	20	635	1
2	10	25	P	L	10	20	321	1
1	25	5	V	R	few	20	421	1
3	25	15	V	R	few	20	369	1
