"Subject" "Item" "vagueness" "selection" "RT"
"157" 1 1 "vague" "comparison" 695
"158" 1 2 "crisp" "matching" 805
"159" 1 3 "crisp" "matching" 1173
"160" 1 4 "crisp" "matching" 714
"161" 1 1 "crisp" "matching" 1050
"162" 1 2 "vague" "comparison" 615
"163" 1 3 "vague" "comparison" 571
"164" 1 4 "crisp" "comparison" 780
"165" 1 1 "crisp" "comparison" 507
"166" 1 2 "crisp" "comparison" 686
"167" 1 3 "vague" "matching" 840
"168" 1 4 "crisp" "matching" 706
"169" 1 1 "crisp" "comparison" 554
"170" 1 2 "vague" "matching" 637
"171" 1 3 "crisp" "comparison" 647
"172" 1 4 "vague" "matching" 899
"173" 1 1 "crisp" "comparison" 806
"174" 1 2 "vague" "comparison" 734
"175" 1 3 "crisp" "comparison" 589
"176" 1 4 "crisp" "comparison" 1032
"177" 1 1 "vague" "comparison" 574
"178" 1 2 "crisp" "matching" 610
"179" 1 3 "vague" "comparison" 670
"180" 1 4 "vague" "matching" 645
"181" 1 1 "vague" "comparison" 601
"182" 1 2 "crisp" "comparison" 938
"183" 1 3 "vague" "comparison" 724
"184" 1 4 "crisp" "comparison" 493
"185" 1 1 "vague" "matching" 671
"186" 1 2 "crisp" "comparison" 617
"187" 1 3 "crisp" "matching" 579
"188" 1 4 "vague" "comparison" 928
"189" 1 1 "vague" "matching" 1261
"190" 1 2 "vague" "matching" 1637
"191" 1 3 "crisp" "comparison" 744
"192" 1 4 "vague" "comparison" 614
"193" 10 1 "crisp" "comparison" 2355
"194" 10 2 "crisp" "comparison" 3854
"195" 10 3 "vague" "comparison" 2284
"196" 10 4 "crisp" "comparison" 2360
"197" 10 1 "crisp" "matching" 1471
"198" 10 2 "vague" "comparison" 2366
"199" 10 3 "crisp" "matching" 4059
"200" 10 4 "crisp" "comparison" 4586
"201" 10 1 "crisp" "matching" 4847
"202" 10 2 "crisp" "matching" 3650
"203" 10 3 "crisp" "comparison" 3682
"204" 10 4 "vague" "comparison" 1848
"205" 10 1 "crisp" "matching" 2163
"206" 10 2 "vague" "matching" 3878
"207" 10 3 "crisp" "comparison" 3670
"208" 10 4 "vague" "matching" 3106
"209" 10 1 "vague" "matching" 6271
"210" 10 2 "crisp" "matching" 3479
"211" 10 3 "crisp" "comparison" 1820
"212" 10 4 "vague" "matching" 3181
"213" 10 1 "vague" "comparison" 1760
"214" 10 2 "crisp" "matching" 2183
"215" 10 3 "vague" "comparison" 3070
"216" 10 4 "vague" "comparison" 3506
"217" 10 1 "crisp" "comparison" 3643
"218" 10 2 "crisp" "comparison" 3023
"219" 10 3 "vague" "matching" 2435
"220" 10 4 "crisp" "comparison" 1603
"221" 10 1 "vague" "comparison" 2000
"222" 10 2 "vague" "matching" 1823
"223" 10 3 "vague" "matching" 3592
"224" 10 4 "crisp" "matching" 3156
"225" 10 1 "crisp" "comparison" 1713
"226" 10 2 "crisp" "comparison" 2544
"227" 10 3 "crisp" "comparison" 2616
"228" 10 4 "vague" "comparison" 1176
"229" 10 1 "crisp" "comparison" 1487
"230" 10 2 "vague" "comparison" 2356
"231" 10 3 "crisp" "matching" 3908
"232" 10 4 "vague" "matching" 1514
"233" 10 1 "crisp" "matching" 1950
"234" 10 2 "vague" "matching" 2197
"235" 10 3 "crisp" "matching" 2745
"236" 10 4 "vague" "matching" 2145
"237" 10 1 "vague" "comparison" 1791
"238" 10 2 "crisp" "comparison" 1422
"239" 10 3 "vague" "comparison" 2573
"240" 10 4 "crisp" "matching" 2844
"241" 10 1 "vague" "matching" 2014
"242" 10 2 "crisp" "matching" 3552
"243" 10 3 "vague" "matching" 3150
"244" 10 4 "crisp" "matching" 2822
"245" 10 1 "vague" "comparison" 1185
"246" 10 2 "vague" "comparison" 2448
"247" 10 3 "crisp" "matching" 3239
"248" 10 4 "crisp" "matching" 3508
"249" 10 1 "vague" "matching" 9582
"250" 10 2 "vague" "matching" 3647
"251" 10 3 "vague" "matching" 3192
"252" 10 4 "vague" "comparison" 2735
"253" 10 1 "vague" "matching" 2093
"254" 10 2 "vague" "comparison" 3347
"255" 10 3 "vague" "comparison" 1432
"256" 10 4 "crisp" "comparison" 2230
"257" 10 1 "vague" "matching" 3145
"258" 10 2 "vague" "comparison" 1337
"259" 10 3 "vague" "matching" 2315
"260" 10 4 "crisp" "matching" 3010
"261" 10 1 "crisp" "comparison" 1429
"262" 10 2 "crisp" "comparison" 1534
"263" 10 3 "crisp" "comparison" 3726
"264" 10 4 "vague" "matching" 2216
"265" 10 1 "vague" "comparison" 2539
"266" 10 2 "vague" "matching" 3103
"267" 10 3 "vague" "comparison" 1493
"268" 10 4 "crisp" "comparison" 1507
"269" 10 1 "vague" "matching" 2856
"270" 10 2 "crisp" "matching" 3283
"271" 10 3 "vague" "matching" 2552
"272" 10 4 "vague" "comparison" 1881
"273" 10 1 "vague" "comparison" 1864
"274" 10 2 "vague" "matching" 3276
"275" 10 3 "crisp" "comparison" 1384
"276" 10 4 "vague" "comparison" 4600
"277" 10 1 "crisp" "matching" 2485
"278" 10 2 "crisp" "comparison" 1530
"279" 10 3 "vague" "comparison" 3895
"280" 10 4 "crisp" "matching" 4097
"281" 10 1 "vague" "comparison" 1755
"282" 10 2 "crisp" "comparison" 2462
"283" 10 3 "crisp" "matching" 2638
"284" 10 4 "crisp" "matching" 2306
"285" 10 1 "crisp" "matching" 2365
"286" 10 2 "crisp" "matching" 2641
"287" 10 3 "crisp" "matching" 3774
"288" 10 4 "crisp" "matching" 1550
"289" 10 1 "crisp" "comparison" 1304
"290" 10 2 "vague" "matching" 2225
"291" 10 3 "vague" "matching" 4483
"292" 10 4 "vague" "comparison" 5354
"293" 10 1 "crisp" "matching" 5419
"294" 10 2 "vague" "comparison" 1890
"295" 10 3 "vague" "comparison" 2985
"296" 10 4 "vague" "matching" 2686
"297" 10 1 "vague" "comparison" 1102
"298" 10 2 "vague" "comparison" 4310
"299" 10 3 "crisp" "comparison" 3493
"300" 10 4 "vague" "matching" 1797
"301" 10 1 "vague" "matching" 4066
"302" 10 2 "vague" "comparison" 3014
"303" 10 3 "crisp" "matching" 6856
"304" 10 4 "crisp" "comparison" 3886
"305" 10 1 "crisp" "comparison" 3258
"306" 10 2 "crisp" "comparison" 2548
"307" 10 3 "crisp" "matching" 2566
"308" 10 4 "vague" "comparison" 2349
"309" 10 1 "vague" "matching" 3939
"310" 10 2 "crisp" "matching" 3391
"311" 10 3 "crisp" "comparison" 2543
"312" 10 4 "crisp" "comparison" 2174
"313" 10 1 "crisp" "matching" 2797
"314" 10 2 "crisp" "matching" 5311
"315" 10 3 "vague" "matching" 4725
"316" 10 4 "crisp" "comparison" 5805
"317" 10 1 "crisp" "comparison" 1824
"318" 10 2 "vague" "matching" 3294
"319" 10 3 "vague" "comparison" 4309
"320" 10 4 "vague" "matching" 3424
"321" 10 1 "crisp" "matching" 1429
"322" 10 2 "vague" "matching" 2361
"323" 10 3 "vague" "matching" 2503
"324" 10 4 "crisp" "comparison" 1661
"325" 10 1 "crisp" "comparison" 1777
"326" 10 2 "crisp" "comparison" 2007
"327" 10 3 "vague" "matching" 1804
"328" 10 4 "vague" "comparison" 1884
"329" 10 1 "vague" "comparison" 1437
