5	25	30	V	R	many	6	765	1
7	25	40	P	R	40	6	778	1
8	45	25	V	L	many	6	468	1
4	20	25	V	L	few	6	1692	0
8	45	25	P	L	45	6	412	1
6	25	35	P	R	35	6	980	1
2	10	25	P	L	10	6	396	1
3	25	15	V	R	few	6	527	1
1	5	25	V	L	few	6	426	1
4	25	20	V	R	few	6	1573	1
4	20	25	P	L	20	6	1727	1
7	40	25	V	L	many	6	827	1
3	15	25	V	L	few	6	796	1
5	30	25	V	L	many	6	1232	0
6	35	25	V	L	many	6	712	1
5	30	25	P	L	30	6	1925	1
2	10	25	V	L	few	6	439	1
5	25	30	P	R	30	6	915	1
6	35	25	P	L	35	6	827	1
8	25	45	P	R	45	6	560	1
7	25	40	V	R	many	6	668	1
4	25	20	P	R	20	6	1464	0
8	25	45	V	R	many	6	448	1
2	25	10	P	R	10	6	791	1
1	25	5	V	R	few	6	402	1
6	25	35	V	R	many	6	698	1
2	25	10	V	R	few	6	666	1
3	25	15	P	R	15	6	661	1
7	40	25	P	L	40	6	706	1
3	15	25	P	L	15	6	1156	1
1	25	5	P	R	5	6	327	1
1	5	25	P	L	5	6	344	1
8	45	25	V	L	many	6	697	1
4	20	25	V	L	few	6	802	1
4	25	20	V	R	few	6	730	1
7	40	25	V	L	many	6	473	1
2	25	10	P	R	10	6	349	1
1	5	25	V	L	few	6	357	1
5	25	30	V	R	many	6	1165	1
3	25	15	V	R	few	6	600	1
2	10	25	V	L	few	6	306	1
2	10	25	P	L	10	6	705	1
5	25	30	P	R	30	6	594	1
7	25	40	P	R	40	6	447	1
4	20	25	P	L	20	6	356	0
1	25	5	P	R	5	6	471	1
6	35	25	P	L	35	6	656	1
8	25	45	P	R	45	6	534	1
6	25	35	P	R	35	6	1031	1
1	5	25	P	L	5	6	424	1
7	25	40	V	R	many	6	548	1
8	45	25	P	L	45	6	377	1
3	15	25	V	L	few	6	970	0
7	40	25	P	L	40	6	775	1
5	30	25	P	L	30	6	978	1
5	30	25	V	L	many	6	525	1
3	15	25	P	L	15	6	766	1
3	25	15	P	R	15	6	615	1
6	35	25	V	L	many	6	1177	1
2	25	10	V	R	few	6	538	1
1	25	5	V	R	few	6	368	1
4	25	20	P	R	20	6	490	0
8	25	45	V	R	many	6	439	1
6	25	35	V	R	many	6	869	1
7	25	40	P	R	40	6	432	1
1	5	25	P	L	5	6	378	1
6	35	25	P	L	35	6	838	1
8	25	45	V	R	many	6	466	1
1	25	5	V	R	few	6	504	0
7	40	25	V	L	many	6	1035	1
8	45	25	P	L	45	6	676	1
8	45	25	V	L	many	6	881	1
6	35	25	V	L	many	6	1295	1
3	25	15	P	R	15	6	1254	1
3	15	25	P	L	15	6	887	1
2	10	25	P	L	10	6	618	1
2	25	10	V	R	few	6	506	1
7	25	40	V	R	many	6	1349	1
5	25	30	P	R	30	6	1533	1
3	25	15	V	R	few	6	796	1
5	30	25	V	L	many	6	1022	1
3	15	25	V	L	few	6	577	1
1	25	5	P	R	5	6	354	1
1	5	25	V	L	few	6	426	1
5	25	30	V	R	many	6	891	1
5	30	25	P	L	30	6	946	1
6	25	35	P	R	35	6	968	1
2	25	10	P	R	10	6	416	1
4	25	20	V	R	few	6	770	1
4	25	20	P	R	20	6	973	0
6	25	35	V	R	many	6	498	1
2	10	25	V	L	few	6	466	1
8	25	45	P	R	45	6	508	1
4	20	25	P	L	20	6	1314	1
7	40	25	P	L	40	6	640	1
4	20	25	V	L	few	6	1436	1
2	25	10	V	R	few	6	406	1
4	20	25	V	L	few	6	489	1
5	25	30	P	R	30	6	842	1
8	25	45	V	R	many	6	618	1
3	15	25	V	L	few	6	789	1
5	30	25	P	L	30	6	1050	1
4	25	20	V	R	few	6	857	1
8	45	25	P	L	45	6	524	1
1	5	25	P	L	5	6	465	1
5	30	25	V	L	many	6	625	1
3	25	15	P	R	15	6	854	1
7	25	40	V	R	many	6	719	1
6	25	35	V	R	many	6	722	1
7	40	25	P	L	40	6	840	1
1	25	5	V	R	few	6	481	1
5	25	30	V	R	many	6	1397	1
2	10	25	V	L	few	6	819	1
8	45	25	V	L	many	6	373	1
6	35	25	P	L	35	6	381	1
1	25	5	P	R	5	6	328	1
4	20	25	P	L	20	6	998	1
2	25	10	P	R	10	6	413	1
2	10	25	P	L	10	6	641	1
1	5	25	V	L	few	6	566	1
6	35	25	V	L	many	6	385	1
4	25	20	P	R	20	6	966	1
8	25	45	P	R	45	6	416	1
6	25	35	P	R	35	6	582	1
3	25	15	V	R	few	6	509	1
3	15	25	P	L	15	6	660	1
7	25	40	P	R	40	6	501	1
7	40	25	V	L	many	6	354	1
1	5	25	V	L	few	6	530	1
7	25	40	V	R	many	6	397	1
7	40	25	P	L	40	6	480	1
4	25	20	P	R	20	6	1235	1
1	25	5	P	R	5	6	495	1
4	20	25	P	L	20	6	469	0
1	5	25	P	L	5	6	471	1
5	25	30	P	R	30	6	684	1
6	25	35	V	R	many	6	507	1
8	25	45	V	R	many	6	640	1
5	25	30	V	R	many	6	1054	1
3	15	25	V	L	few	6	405	1
6	25	35	P	R	35	6	700	1
2	10	25	V	L	few	6	622	1
8	45	25	P	L	45	6	458	1
3	25	15	V	R	few	6	573	1
3	25	15	P	R	15	6	426	1
8	45	25	V	L	many	6	403	1
2	10	25	P	L	10	6	1007	1
2	25	10	V	R	few	6	452	1
5	30	25	P	L	30	6	338	1
7	40	25	V	L	many	6	424	1
7	25	40	P	R	40	6	533	1
6	35	25	V	L	many	6	384	1
4	20	25	V	L	few	6	457	1
5	30	25	V	L	many	6	397	1
3	15	25	P	L	15	6	520	1
4	25	20	V	R	few	6	563	1
8	25	45	P	R	45	6	621	1
2	25	10	P	R	10	6	341	1
1	25	5	V	R	few	6	428	0
6	35	25	P	L	35	6	661	1
7	40	25	V	L	many	6	400	1
6	35	25	P	L	35	6	370	1
4	25	20	V	R	few	6	527	1
8	25	45	V	R	many	6	453	1
4	25	20	P	R	20	6	761	1
7	25	40	V	R	many	6	426	1
2	10	25	P	L	10	6	413	1
2	25	10	V	R	few	6	359	1
1	25	5	V	R	few	6	500	1
8	45	25	V	L	many	6	338	1
6	35	25	V	L	many	6	562	1
8	25	45	P	R	45	6	702	1
4	20	25	P	L	20	6	730	0
1	5	25	P	L	5	6	314	1
1	5	25	V	L	few	6	364	1
3	15	25	P	L	15	6	402	1
