"Subject" "Item" "id" "Trial" "Vagueness" "Selection" "Order" "Quantity" "Instruction" "nchar_instr" "RT" "RT_raw" "RT_log" "RTprev_log" "RTprev_raw" "rt_instr" "response_cat"
"33" "s01" "06:15:24" "s01:t033" 33 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 20 dots'" 36 760 760 6.63331843328038 6.70563909486 817 698 "Expected"
"34" "s01" "16:25:34" "s01:t034" 34 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 16 dots'" 30 1103 1103 7.0057890192535 6.63331843328038 760 692 "Expected"
"35" "s01" "26:35:44" "s01:t035" 35 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 40 dots'" 36 1041 1041 6.94793706861497 7.0057890192535 1103 674 "Expected"
"36" "s01" "36:45:54" "s01:t036" 36 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 50 dots'" 45 1510 1510 7.31986492980897 6.94793706861497 1041 771 "Expected"
"37" "s01" "06:15:24" "s01:t037" 37 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 20 dots'" 45 612 612 6.41673228251233 7.31986492980897 1510 718 "Expected"
"38" "s01" "16:25:34" "s01:t038" 38 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 16 dots'" 30 734 734 6.59850902861452 6.41673228251233 612 671 "Expected"
"39" "s01" "26:35:44" "s01:t039" 39 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 40 dots'" 41 1030 1030 6.93731408122368 6.59850902861452 734 954 "Expected"
"40" "s01" "36:45:54" "s01:t040" 40 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 54 dots'" 30 747 747 6.61606518513282 6.93731408122368 1030 577 "Expected"
"41" "s01" "06:15:24" "s01:t041" 41 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 6 dots'" 29 1262 1262 7.14045304310116 6.61606518513282 747 681 "Expected"
"42" "s01" "16:25:34" "s01:t042" 42 "Vague" "Comparison" "RtoL" "Large" "'Choose a square with far more than 20 dots'" 44 779 779 6.65801104587075 7.14045304310116 1262 784 "Expected"
"43" "s01" "26:35:44" "s01:t043" 43 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 40 dots'" 36 712 712 6.56807791141198 6.65801104587075 779 615 "Expected"
"44" "s01" "36:45:54" "s01:t044" 44 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 50 dots'" 36 930 930 6.8351845861473 6.56807791141198 712 559 "Expected"
