Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
15	101	1	1	2	2	20	24	15	6	M	2496	Choose a square with about the same number of dots as the target
15	102	2	4	1	1	30	16	25	34	L	1548	Choose a square with fewer dots than the target
15	103	3	2	1	1	26	26	35	44	L	2052	Choose a square with the same number of dots as the target
15	104	4	3	2	2	40	54	45	36	L	2029	Choose a square with far more dots than the target
15	105	1	2	2	2	24	24	15	6	L	2038	Choose a square with the same number of dots as the target
15	106	2	4	2	2	20	34	25	16	L	1946	Choose a square with more dots than the target
15	107	3	3	1	1	40	26	35	44	L	2056	Choose a square with far fewer dots than the target
15	108	4	3	2	1	50	54	45	36	R	2245	Choose a square with far fewer dots than the target
15	109	1	2	1	1	6	6	15	24	L	3499	Choose a square with the same number of dots as the target
15	110	2	3	2	1	30	34	25	16	R	1454	Choose a square with far fewer dots than the target
15	111	3	1	2	1	30	44	35	26	M	1642	Choose a square with about the same number of dots as the target
15	112	4	4	2	1	50	54	45	36	R	3632	Choose a square with fewer dots than the target
15	113	1	4	1	1	20	6	15	24	L	1183	Choose a square with fewer dots than the target
15	114	2	2	2	1	16	34	25	16	R	2150	Choose a square with the same number of dots as the target
15	115	3	3	1	2	30	26	35	44	R	1848	Choose a square with far more dots than the target
15	116	4	4	2	2	40	54	45	36	L	1436	Choose a square with more dots than the target
15	117	1	4	1	2	10	6	15	24	R	1476	Choose a square with more dots than the target
15	118	2	1	2	2	30	34	25	16	M	2711	Choose a square with about the same number of dots as the target
15	119	3	4	1	2	30	26	35	44	R	2884	Choose a square with more dots than the target
15	120	4	1	2	1	40	54	45	36	M	2245	Choose a square with about the same number of dots as the target
15	121	1	3	2	2	10	24	15	6	L	1558	Choose a square with far more dots than the target
15	122	2	2	1	1	16	16	25	34	L	1423	Choose a square with the same number of dots as the target
15	123	3	2	1	2	44	26	35	44	R	2381	Choose a square with the same number of dots as the target
15	124	4	4	1	2	40	36	45	54	R	1689	Choose a square with more dots than the target
15	125	1	2	1	2	24	6	15	24	M	2588	Choose a square with the same number of dots as the target
15	126	2	4	2	1	30	34	25	16	R	1571	Choose a square with fewer dots than the target
