Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
12	101	1	2	1	2	24	6	15	24	R	2329	Choose a square with the same number of dots as the target
12	102	2	4	1	2	20	16	25	34	R	1752	Choose a square with more dots than the target
12	103	3	2	2	1	26	44	35	26	R	6834	Choose a square with the same number of dots as the target
12	104	4	4	1	2	40	36	45	54	M	5350	Choose a square with more dots than the target
12	105	1	2	2	2	24	24	15	6	L	6252	Choose a square with the same number of dots as the target
12	106	2	4	2	1	30	34	25	16	R	2060	Choose a square with fewer dots than the target
12	107	3	4	1	2	30	26	35	44	R	2357	Choose a square with more dots than the target
12	108	4	3	2	1	50	54	45	36	R	2707	Choose a square with far fewer dots than the target
12	109	1	4	2	2	10	24	15	6	L	3207	Choose a square with more dots than the target
12	110	2	2	2	1	16	34	25	16	R	1430	Choose a square with the same number of dots as the target
12	111	3	1	2	1	30	44	35	26	R	2319	Choose a square with about the same number of dots as the target
12	112	4	4	2	2	40	54	45	36	M	3503	Choose a square with more dots than the target
12	113	1	4	1	1	20	6	15	24	R	1270	Choose a square with fewer dots than the target
12	114	2	4	1	1	30	16	25	34	M	2516	Choose a square with fewer dots than the target
12	115	3	3	2	1	40	44	35	26	R	1952	Choose a square with far fewer dots than the target
12	116	4	1	1	2	50	36	45	54	M	4608	Choose a square with about the same number of dots as the target
12	117	1	2	2	1	6	24	15	6	R	1323	Choose a square with the same number of dots as the target
12	118	2	3	2	1	30	34	25	16	R	3985	Choose a square with far fewer dots than the target
12	119	3	1	1	2	40	26	35	44	R	4795	Choose a square with about the same number of dots as the target
12	120	4	1	1	1	40	36	45	54	M	2887	Choose a square with about the same number of dots as the target
12	121	1	3	2	1	20	24	15	6	R	1167	Choose a square with far fewer dots than the target
12	122	2	1	2	2	30	34	25	16	M	1906	Choose a square with about the same number of dots as the target
12	123	3	3	1	1	40	26	35	44	L	4766	Choose a square with far fewer dots than the target
12	124	4	2	2	2	54	54	45	36	L	3099	Choose a square with the same number of dots as the target
12	125	1	1	1	2	20	6	15	24	M	2819	Choose a square with about the same number of dots as the target
12	126	2	1	2	1	20	34	25	16	M	7580	Choose a square with about the same number of dots as the target
12	127	3	3	1	2	30	26	35	44	R	3275	Choose a square with far more dots than the target
12	128	4	1	2	1	40	54	45	36	M	8722	Choose a square with about the same number of dots as the target
12	129	1	3	1	1	20	6	15	24	M	1179	Choose a square with far fewer dots than the target
12	130	2	4	2	2	20	34	25	16	L	1675	Choose a square with more dots than the target
12	131	3	1	1	1	30	26	35	44	M	1414	Choose a square with about the same number of dots as the target
12	132	4	4	1	1	50	36	45	54	L	1637	Choose a square with fewer dots than the target
12	133	1	3	1	2	10	6	15	24	R	1091	Choose a square with far more dots than the target
12	134	2	3	1	1	30	16	25	34	R	1134	Choose a square with far fewer dots than the target
12	135	3	2	1	1	26	26	35	44	L	1596	Choose a square with the same number of dots as the target
