Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
5	101	1	3	2	2	10	24	15	6	L	2527	Choose a square with far more dots than the target
5	102	2	3	1	2	20	16	25	34	R	1866	Choose a square with far more dots than the target
5	103	3	2	2	2	44	44	35	26	M	1614	Choose a square with the same number of dots as the target
5	104	4	1	1	1	40	36	45	54	M	1778	Choose a square with about the same number of dots as the target
5	105	1	4	1	2	10	6	15	24	R	1124	Choose a square with more dots than the target
5	106	2	1	1	2	30	16	25	34	R	1419	Choose a square with about the same number of dots as the target
5	107	3	3	2	2	30	44	35	26	L	2358	Choose a square with far more dots than the target
5	108	4	3	1	1	50	36	45	54	L	2908	Choose a square with far fewer dots than the target
5	109	1	2	2	1	6	24	15	6	R	1387	Choose a square with the same number of dots as the target
5	110	2	3	2	1	30	34	25	16	R	1938	Choose a square with far fewer dots than the target
5	111	3	4	1	2	30	26	35	44	R	2158	Choose a square with more dots than the target
5	112	4	3	2	2	40	54	45	36	L	1764	Choose a square with far more dots than the target
5	113	1	1	1	1	10	6	15	24	L	1741	Choose a square with about the same number of dots as the target
5	114	2	4	1	1	30	16	25	34	L	1209	Choose a square with fewer dots than the target
5	115	3	3	1	2	30	26	35	44	R	2065	Choose a square with far more dots than the target
5	116	4	4	1	2	40	36	45	54	R	1211	Choose a square with more dots than the target
5	117	1	3	1	2	10	6	15	24	R	1031	Choose a square with far more dots than the target
5	118	2	2	1	1	16	16	25	34	L	1262	Choose a square with the same number of dots as the target
5	119	3	2	2	1	26	44	35	26	R	1928	Choose a square with the same number of dots as the target
5	120	4	4	2	1	50	54	45	36	R	1461	Choose a square with fewer dots than the target
5	121	1	4	2	2	10	24	15	6	L	1427	Choose a square with more dots than the target
5	122	2	2	2	2	34	34	25	16	M	1858	Choose a square with the same number of dots as the target
5	123	3	1	1	2	40	26	35	44	M	1244	Choose a square with about the same number of dots as the target
5	124	4	1	1	2	50	36	45	54	R	2001	Choose a square with about the same number of dots as the target
5	125	1	4	1	1	20	6	15	24	L	1065	Choose a square with fewer dots than the target
5	126	2	4	2	1	30	34	25	16	R	1104	Choose a square with fewer dots than the target
5	127	3	3	2	1	40	44	35	26	R	1768	Choose a square with far fewer dots than the target
5	128	4	2	1	1	36	36	45	54	M	2071	Choose a square with the same number of dots as the target
5	129	1	2	2	2	24	24	15	6	M	1984	Choose a square with the same number of dots as the target
5	130	2	1	2	1	20	34	25	16	R	1535	Choose a square with about the same number of dots as the target
5	131	3	4	1	1	40	26	35	44	L	1344	Choose a square with fewer dots than the target
5	132	4	2	2	1	36	54	45	36	R	2151	Choose a square with the same number of dots as the target
5	133	1	1	2	2	20	24	15	6	M	1356	Choose a square with about the same number of dots as the target
5	134	2	4	2	2	20	34	25	16	L	1776	Choose a square with more dots than the target
5	135	3	2	1	1	26	26	35	44	M	1312	Choose a square with the same number of dots as the target
5	136	4	1	2	1	40	54	45	36	R	1868	Choose a square with about the same number of dots as the target
5	137	1	4	2	1	20	24	15	6	R	1650	Choose a square with fewer dots than the target
5	138	2	1	1	1	20	16	25	34	L	1790	Choose a square with about the same number of dots as the target
5	139	3	1	2	2	40	44	35	26	M	1044	Choose a square with about the same number of dots as the target
5	140	4	2	2	2	54	54	45	36	M	1589	Choose a square with the same number of dots as the target
5	141	1	3	2	1	20	24	15	6	R	918	Choose a square with far fewer dots than the target
5	142	2	4	1	2	20	16	25	34	R	1063	Choose a square with more dots than the target
5	143	3	4	2	2	30	44	35	26	R	1260	Choose a square with more dots than the target
5	144	4	3	2	1	50	54	45	36	R	1134	Choose a square with far fewer dots than the target
5	145	1	2	1	1	6	6	15	24	L	1081	Choose a square with the same number of dots as the target
5	146	2	3	1	1	30	16	25	34	L	1009	Choose a square with far fewer dots than the target
5	147	3	4	2	1	40	44	35	26	R	1085	Choose a square with fewer dots than the target
