Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
28	101	1	1	2	1	10	24	15	6	M	1097	Choose a square with about the same number of dots as the target
28	102	2	3	1	2	20	16	25	34	L	738	Choose a square with far more dots than the target
28	103	3	3	2	2	30	44	35	26	L	966	Choose a square with far more dots than the target
28	104	4	1	1	1	40	36	45	54	R	969	Choose a square with about the same number of dots as the target
28	105	1	1	2	2	20	24	15	6	L	1000	Choose a square with about the same number of dots as the target
28	106	2	1	2	2	30	34	25	16	M	1100	Choose a square with about the same number of dots as the target
28	107	3	4	2	2	30	44	35	26	L	958	Choose a square with more dots than the target
28	108	4	2	2	2	54	54	45	36	L	1065	Choose a square with the same number of dots as the target
28	109	1	4	2	1	20	24	15	6	M	1220	Choose a square with fewer dots than the target
28	110	2	4	2	2	20	34	25	16	L	860	Choose a square with more dots than the target
28	111	3	1	1	1	30	26	35	44	R	1634	Choose a square with about the same number of dots as the target
28	112	4	2	2	1	36	54	45	36	M	674	Choose a square with the same number of dots as the target
28	113	1	2	1	2	24	6	15	24	M	1379	Choose a square with the same number of dots as the target
28	114	2	2	1	1	16	16	25	34	L	987	Choose a square with the same number of dots as the target
28	115	3	1	1	2	40	26	35	44	M	701	Choose a square with about the same number of dots as the target
28	116	4	1	2	1	40	54	45	36	R	1654	Choose a square with about the same number of dots as the target
28	117	1	4	1	2	10	6	15	24	R	786	Choose a square with more dots than the target
28	118	2	1	1	2	30	16	25	34	M	566	Choose a square with about the same number of dots as the target
28	119	3	4	1	2	30	26	35	44	R	1072	Choose a square with more dots than the target
28	120	4	2	1	2	54	36	45	54	R	814	Choose a square with the same number of dots as the target
28	121	1	3	1	2	10	6	15	24	R	624	Choose a square with far more dots than the target
28	122	2	4	1	2	20	16	25	34	M	951	Choose a square with more dots than the target
28	123	3	1	2	1	30	44	35	26	R	1108	Choose a square with about the same number of dots as the target
28	124	4	1	2	2	50	54	45	36	L	977	Choose a square with about the same number of dots as the target
28	125	1	3	2	2	10	24	15	6	L	666	Choose a square with far more dots than the target
28	126	2	1	1	1	20	16	25	34	R	686	Choose a square with about the same number of dots as the target
28	127	3	2	2	1	26	44	35	26	M	1155	Choose a square with the same number of dots as the target
28	128	4	3	2	1	50	54	45	36	R	1190	Choose a square with far fewer dots than the target
28	129	1	1	1	1	10	6	15	24	M	1654	Choose a square with about the same number of dots as the target
28	130	2	2	2	2	34	34	25	16	L	1343	Choose a square with the same number of dots as the target
28	131	3	4	2	1	40	44	35	26	R	731	Choose a square with fewer dots than the target
28	132	4	4	2	2	40	54	45	36	L	536	Choose a square with more dots than the target
28	133	1	2	2	2	24	24	15	6	L	873	Choose a square with the same number of dots as the target
28	134	2	4	1	1	30	16	25	34	M	961	Choose a square with fewer dots than the target
28	135	3	2	1	2	44	26	35	44	M	976	Choose a square with the same number of dots as the target
28	136	4	4	2	1	50	54	45	36	M	1079	Choose a square with fewer dots than the target
28	137	1	4	2	2	10	24	15	6	L	1011	Choose a square with more dots than the target
28	138	2	3	2	2	20	34	25	16	L	417	Choose a square with far more dots than the target
28	139	3	3	1	1	40	26	35	44	L	574	Choose a square with far fewer dots than the target
28	140	4	3	1	2	40	36	45	54	R	731	Choose a square with far more dots than the target
28	141	1	3	1	1	20	6	15	24	L	1087	Choose a square with far fewer dots than the target
28	142	2	2	2	1	16	34	25	16	R	978	Choose a square with the same number of dots as the target
28	143	3	4	1	1	40	26	35	44	L	610	Choose a square with fewer dots than the target
28	144	4	3	1	1	50	36	45	54	L	653	Choose a square with far fewer dots than the target
28	145	1	3	2	1	20	24	15	6	R	840	Choose a square with far fewer dots than the target
28	146	2	3	2	1	30	34	25	16	R	714	Choose a square with far fewer dots than the target
28	147	3	2	2	2	44	44	35	26	M	1888	Choose a square with the same number of dots as the target
28	148	4	3	2	2	40	54	45	36	L	777	Choose a square with far more dots than the target
28	149	1	2	2	1	6	24	15	6	R	1550	Choose a square with the same number of dots as the target
28	150	2	3	1	1	30	16	25	34	L	888	Choose a square with far fewer dots than the target
28	151	3	2	1	1	26	26	35	44	L	1056	Choose a square with the same number of dots as the target
28	152	4	4	1	1	50	36	45	54	L	848	Choose a square with fewer dots than the target
28	153	1	4	1	1	20	6	15	24	L	451	Choose a square with fewer dots than the target
28	154	2	1	2	1	20	34	25	16	L	1690	Choose a square with about the same number of dots as the target
28	155	3	1	2	2	40	44	35	26	M	698	Choose a square with about the same number of dots as the target
