Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
3	101	1	4	2	1	20	24	15	6	R	1737	Choose a square with fewer dots than the target
3	102	2	2	1	1	16	16	25	34	L	2023	Choose a square with the same number of dots as the target
3	103	3	2	1	2	44	26	35	44	R	3033	Choose a square with the same number of dots as the target
3	104	4	3	1	1	50	36	45	54	L	1818	Choose a square with far fewer dots than the target
3	105	1	2	1	2	24	6	15	24	M	4076	Choose a square with the same number of dots as the target
3	106	2	2	2	1	16	34	25	16	R	3952	Choose a square with the same number of dots as the target
3	107	3	4	2	2	30	44	35	26	L	1630	Choose a square with more dots than the target
3	108	4	1	2	1	40	54	45	36	M	2436	Choose a square with about the same number of dots as the target
3	109	1	4	2	2	10	24	15	6	L	2098	Choose a square with more dots than the target
3	110	2	1	1	1	20	16	25	34	M	1746	Choose a square with about the same number of dots as the target
3	111	3	1	2	2	40	44	35	26	M	3488	Choose a square with about the same number of dots as the target
3	112	4	4	2	1	50	54	45	36	R	3117	Choose a square with fewer dots than the target
3	113	1	3	2	1	20	24	15	6	R	2147	Choose a square with far fewer dots than the target
3	114	2	2	1	2	34	16	25	34	M	2631	Choose a square with the same number of dots as the target
3	115	3	3	1	1	40	26	35	44	L	1773	Choose a square with far fewer dots than the target
3	116	4	3	1	2	40	36	45	54	R	1652	Choose a square with far more dots than the target
3	117	1	3	1	2	10	6	15	24	R	1186	Choose a square with far more dots than the target
3	118	2	3	2	1	30	34	25	16	R	2665	Choose a square with far fewer dots than the target
3	119	3	2	2	2	44	44	35	26	L	2299	Choose a square with the same number of dots as the target
3	120	4	1	2	2	50	54	45	36	M	6241	Choose a square with about the same number of dots as the target
3	121	1	4	1	2	10	6	15	24	R	2744	Choose a square with more dots than the target
3	122	2	4	2	1	30	34	25	16	R	5836	Choose a square with fewer dots than the target
3	123	3	4	2	1	40	44	35	26	R	3332	Choose a square with fewer dots than the target
3	124	4	4	1	2	40	36	45	54	R	4124	Choose a square with more dots than the target
3	125	1	3	2	2	10	24	15	6	L	1692	Choose a square with far more dots than the target
3	126	2	3	1	1	30	16	25	34	L	1447	Choose a square with far fewer dots than the target
3	127	3	4	1	1	40	26	35	44	L	3352	Choose a square with fewer dots than the target
3	128	4	1	1	1	40	36	45	54	M	5384	Choose a square with about the same number of dots as the target
3	129	1	2	1	1	6	6	15	24	L	1843	Choose a square with the same number of dots as the target
