Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
22	101	1	4	1	2	10	6	15	24	M	5425	Choose a square with more dots than the target
22	102	2	2	2	1	16	34	25	16	M	3388	Choose a square with the same number of dots as the target
22	103	3	3	2	1	40	44	35	26	R	1569	Choose a square with far fewer dots than the target
22	104	4	1	1	2	50	36	45	54	M	4437	Choose a square with about the same number of dots as the target
22	105	1	1	2	2	20	24	15	6	L	1956	Choose a square with about the same number of dots as the target
22	106	2	1	2	2	30	34	25	16	M	2565	Choose a square with about the same number of dots as the target
22	107	3	1	1	1	30	26	35	44	M	3029	Choose a square with about the same number of dots as the target
22	108	4	3	2	1	50	54	45	36	R	2016	Choose a square with far fewer dots than the target
22	109	1	3	1	1	20	6	15	24	L	1855	Choose a square with far fewer dots than the target
22	110	2	3	2	1	30	34	25	16	R	1417	Choose a square with far fewer dots than the target
22	111	3	2	2	1	26	44	35	26	R	1601	Choose a square with the same number of dots as the target
22	112	4	2	2	2	54	54	45	36	M	1095	Choose a square with the same number of dots as the target
22	113	1	1	2	1	10	24	15	6	M	1369	Choose a square with about the same number of dots as the target
22	114	2	3	1	1	30	16	25	34	L	1392	Choose a square with far fewer dots than the target
22	115	3	2	2	2	44	44	35	26	M	1928	Choose a square with the same number of dots as the target
22	116	4	1	1	1	40	36	45	54	M	2528	Choose a square with about the same number of dots as the target
22	117	1	1	1	1	10	6	15	24	L	1918	Choose a square with about the same number of dots as the target
22	118	2	4	1	1	30	16	25	34	L	1331	Choose a square with fewer dots than the target
22	119	3	4	1	2	30	26	35	44	R	3391	Choose a square with more dots than the target
22	120	4	2	2	1	36	54	45	36	M	3916	Choose a square with the same number of dots as the target
22	121	1	3	2	1	20	24	15	6	R	1892	Choose a square with far fewer dots than the target
22	122	2	2	1	2	34	16	25	34	M	2331	Choose a square with the same number of dots as the target
22	123	3	3	1	1	40	26	35	44	L	2017	Choose a square with far fewer dots than the target
22	124	4	4	2	1	50	54	45	36	M	2027	Choose a square with fewer dots than the target
22	125	1	4	1	1	20	6	15	24	L	1138	Choose a square with fewer dots than the target
22	126	2	3	2	2	20	34	25	16	M	2757	Choose a square with far more dots than the target
22	127	3	4	2	2	30	44	35	26	L	1466	Choose a square with more dots than the target
22	128	4	4	2	2	40	54	45	36	L	2048	Choose a square with more dots than the target
22	129	1	2	2	2	24	24	15	6	L	3411	Choose a square with the same number of dots as the target
22	130	2	3	1	2	20	16	25	34	R	1411	Choose a square with far more dots than the target
22	131	3	1	1	2	40	26	35	44	M	3717	Choose a square with about the same number of dots as the target
22	132	4	4	1	1	50	36	45	54	L	2192	Choose a square with fewer dots than the target
22	133	1	2	1	1	6	6	15	24	L	2540	Choose a square with the same number of dots as the target
22	134	2	4	2	1	30	34	25	16	R	1866	Choose a square with fewer dots than the target
22	135	3	2	1	2	44	26	35	44	M	2891	Choose a square with the same number of dots as the target
22	136	4	2	1	1	36	36	45	54	L	1300	Choose a square with the same number of dots as the target
22	137	1	2	1	2	24	6	15	24	R	2098	Choose a square with the same number of dots as the target
22	138	2	1	2	1	20	34	25	16	M	5674	Choose a square with about the same number of dots as the target
22	139	3	4	2	1	40	44	35	26	R	2318	Choose a square with fewer dots than the target
22	140	4	1	2	1	40	54	45	36	R	1343	Choose a square with about the same number of dots as the target
22	141	1	3	2	2	10	24	15	6	L	1891	Choose a square with far more dots than the target
22	142	2	2	2	2	34	34	25	16	M	2577	Choose a square with the same number of dots as the target
22	143	3	1	2	1	30	44	35	26	R	2627	Choose a square with about the same number of dots as the target
22	144	4	4	1	2	40	36	45	54	R	3484	Choose a square with more dots than the target
22	145	1	1	1	2	20	6	15	24	R	1908	Choose a square with about the same number of dots as the target
22	146	2	1	1	2	30	16	25	34	M	1021	Choose a square with about the same number of dots as the target
22	147	3	3	2	2	30	44	35	26	L	1479	Choose a square with far more dots than the target
22	148	4	3	2	2	40	54	45	36	L	1710	Choose a square with far more dots than the target
22	149	1	2	2	1	6	24	15	6	R	2085	Choose a square with the same number of dots as the target
22	150	2	1	1	1	20	16	25	34	L	1595	Choose a square with about the same number of dots as the target
22	151	3	3	1	2	30	26	35	44	R	1718	Choose a square with far more dots than the target
22	152	4	3	1	2	40	36	45	54	R	1967	Choose a square with far more dots than the target
22	153	1	3	1	2	10	6	15	24	R	1231	Choose a square with far more dots than the target
22	154	2	4	2	2	20	34	25	16	M	1987	Choose a square with more dots than the target
22	155	3	4	1	1	40	26	35	44	L	1978	Choose a square with fewer dots than the target
22	156	4	2	1	2	54	36	45	54	R	1808	Choose a square with the same number of dots as the target
22	157	1	4	2	1	20	24	15	6	R	1498	Choose a square with fewer dots than the target
22	158	2	2	1	1	16	16	25	34	L	1333	Choose a square with the same number of dots as the target
22	159	3	1	2	2	40	44	35	26	M	959	Choose a square with about the same number of dots as the target
