Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
19	101	1	1	1	1	10	6	15	24	M	2389	Choose a square with about the same number of dots as the target
19	102	2	1	1	2	30	16	25	34	R	2337	Choose a square with about the same number of dots as the target
19	103	3	1	1	2	40	26	35	44	R	2795	Choose a square with about the same number of dots as the target
19	104	4	1	1	2	50	36	45	54	M	1617	Choose a square with about the same number of dots as the target
19	105	1	4	1	1	20	6	15	24	L	1166	Choose a square with fewer dots than the target
19	106	2	3	1	1	30	16	25	34	L	4004	Choose a square with far fewer dots than the target
19	107	3	2	1	1	26	26	35	44	M	1996	Choose a square with the same number of dots as the target
19	108	4	2	1	2	54	36	45	54	R	2568	Choose a square with the same number of dots as the target
19	109	1	2	1	2	24	6	15	24	M	3253	Choose a square with the same number of dots as the target
19	110	2	1	1	1	20	16	25	34	M	1862	Choose a square with about the same number of dots as the target
19	111	3	4	2	1	40	44	35	26	R	3096	Choose a square with fewer dots than the target
19	112	4	1	1	1	40	36	45	54	L	3141	Choose a square with about the same number of dots as the target
19	113	1	3	2	2	10	24	15	6	L	1311	Choose a square with far more dots than the target
19	114	2	4	2	2	20	34	25	16	L	3159	Choose a square with more dots than the target
19	115	3	3	2	1	40	44	35	26	R	2069	Choose a square with far fewer dots than the target
19	116	4	4	2	2	40	54	45	36	L	1606	Choose a square with more dots than the target
19	117	1	2	1	1	6	6	15	24	L	1665	Choose a square with the same number of dots as the target
19	118	2	2	1	1	16	16	25	34	M	3459	Choose a square with the same number of dots as the target
19	119	3	4	1	1	40	26	35	44	L	3789	Choose a square with fewer dots than the target
19	120	4	3	2	1	50	54	45	36	R	2440	Choose a square with far fewer dots than the target
19	121	1	3	1	1	20	6	15	24	L	1850	Choose a square with far fewer dots than the target
19	122	2	2	2	1	16	34	25	16	R	1340	Choose a square with the same number of dots as the target
19	123	3	2	2	1	26	44	35	26	R	3283	Choose a square with the same number of dots as the target
19	124	4	1	2	1	40	54	45	36	M	4223	Choose a square with about the same number of dots as the target
19	125	1	1	2	1	10	24	15	6	M	3817	Choose a square with about the same number of dots as the target
19	126	2	2	2	2	34	34	25	16	M	4640	Choose a square with the same number of dots as the target
19	127	3	1	2	2	40	44	35	26	M	6134	Choose a square with about the same number of dots as the target
19	128	4	4	2	1	50	54	45	36	R	4647	Choose a square with fewer dots than the target
