Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
39	101	1	4	1	1	20	6	15	24	L	1722	Choose a square with fewer dots than the target
39	102	2	1	2	2	30	34	25	16	M	1671	Choose a square with about the same number of dots as the target
39	103	3	3	2	1	40	44	35	26	R	2228	Choose a square with far fewer dots than the target
39	104	4	3	2	1	50	54	45	36	R	2054	Choose a square with far fewer dots than the target
39	105	1	1	1	2	20	6	15	24	M	2489	Choose a square with about the same number of dots as the target
39	106	2	3	1	1	30	16	25	34	L	1105	Choose a square with far fewer dots than the target
39	107	3	1	1	2	40	26	35	44	M	1902	Choose a square with about the same number of dots as the target
39	108	4	3	2	2	40	54	45	36	L	2238	Choose a square with far more dots than the target
39	109	1	3	1	2	10	6	15	24	R	2699	Choose a square with far more dots than the target
39	110	2	3	2	1	30	34	25	16	R	3398	Choose a square with far fewer dots than the target
39	111	3	4	1	1	40	26	35	44	L	2026	Choose a square with fewer dots than the target
39	112	4	3	1	1	50	36	45	54	L	1501	Choose a square with far fewer dots than the target
39	113	1	3	2	2	10	24	15	6	L	885	Choose a square with far more dots than the target
39	114	2	2	2	2	34	34	25	16	M	2197	Choose a square with the same number of dots as the target
39	115	3	1	1	1	30	26	35	44	L	3104	Choose a square with about the same number of dots as the target
39	116	4	2	1	2	54	36	45	54	R	1980	Choose a square with the same number of dots as the target
39	117	1	3	2	1	20	24	15	6	R	1447	Choose a square with far fewer dots than the target
39	118	2	1	1	1	20	16	25	34	L	2563	Choose a square with about the same number of dots as the target
39	119	3	2	1	1	26	26	35	44	L	1532	Choose a square with the same number of dots as the target
39	120	4	4	1	2	40	36	45	54	R	1577	Choose a square with more dots than the target
39	121	1	4	1	2	10	6	15	24	R	552	Choose a square with more dots than the target
39	122	2	1	2	1	20	34	25	16	M	2390	Choose a square with about the same number of dots as the target
39	123	3	3	1	2	30	26	35	44	R	2049	Choose a square with far more dots than the target
39	124	4	3	1	2	40	36	45	54	R	1301	Choose a square with far more dots than the target
39	125	1	2	1	2	24	6	15	24	R	3103	Choose a square with the same number of dots as the target
39	126	2	2	1	2	34	16	25	34	M	2307	Choose a square with the same number of dots as the target
39	127	3	2	1	2	44	26	35	44	M	1763	Choose a square with the same number of dots as the target
39	128	4	2	1	1	36	36	45	54	L	3244	Choose a square with the same number of dots as the target
39	129	1	4	2	1	20	24	15	6	R	1514	Choose a square with fewer dots than the target
39	130	2	4	1	1	30	16	25	34	L	983	Choose a square with fewer dots than the target
39	131	3	4	1	2	30	26	35	44	R	660	Choose a square with more dots than the target
39	132	4	1	2	1	40	54	45	36	M	2781	Choose a square with about the same number of dots as the target
39	133	1	2	2	2	24	24	15	6	L	4226	Choose a square with the same number of dots as the target
39	134	2	3	1	2	20	16	25	34	R	997	Choose a square with far more dots than the target
39	135	3	3	2	2	30	44	35	26	L	1361	Choose a square with far more dots than the target
39	136	4	1	1	2	50	36	45	54	R	1802	Choose a square with about the same number of dots as the target
39	137	1	1	2	1	10	24	15	6	M	2579	Choose a square with about the same number of dots as the target
39	138	2	3	2	2	20	34	25	16	L	852	Choose a square with far more dots than the target
39	139	3	1	2	1	30	44	35	26	R	1720	Choose a square with about the same number of dots as the target
39	140	4	1	2	2	50	54	45	36	M	3349	Choose a square with about the same number of dots as the target
39	141	1	3	1	1	20	6	15	24	L	1067	Choose a square with far fewer dots than the target
