Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
14	101	1	1	1	1	10	6	15	24	L	1114	Choose a square with about the same number of dots as the target
14	102	2	1	2	1	20	34	25	16	M	942	Choose a square with about the same number of dots as the target
14	103	3	4	2	2	30	44	35	26	M	907	Choose a square with more dots than the target
14	104	4	4	2	1	50	54	45	36	R	858	Choose a square with fewer dots than the target
14	105	1	1	1	2	20	6	15	24	M	1166	Choose a square with about the same number of dots as the target
14	106	2	4	1	1	30	16	25	34	L	1022	Choose a square with fewer dots than the target
14	107	3	3	2	1	40	44	35	26	R	993	Choose a square with far fewer dots than the target
14	108	4	4	2	2	40	54	45	36	L	1313	Choose a square with more dots than the target
14	109	1	2	1	1	6	6	15	24	L	1119	Choose a square with the same number of dots as the target
14	110	2	1	1	1	20	16	25	34	L	703	Choose a square with about the same number of dots as the target
14	111	3	4	2	1	40	44	35	26	R	755	Choose a square with fewer dots than the target
14	112	4	1	2	2	50	54	45	36	M	992	Choose a square with about the same number of dots as the target
14	113	1	4	2	1	20	24	15	6	R	1754	Choose a square with fewer dots than the target
14	114	2	3	1	2	20	16	25	34	R	1024	Choose a square with far more dots than the target
14	115	3	3	2	2	30	44	35	26	L	781	Choose a square with far more dots than the target
14	116	4	3	1	2	40	36	45	54	R	1327	Choose a square with far more dots than the target
14	117	1	3	2	1	20	24	15	6	R	664	Choose a square with far fewer dots than the target
14	118	2	2	1	2	34	16	25	34	M	836	Choose a square with the same number of dots as the target
14	119	3	1	2	1	30	44	35	26	M	1009	Choose a square with about the same number of dots as the target
14	120	4	4	1	1	50	36	45	54	L	1017	Choose a square with fewer dots than the target
14	121	1	3	1	2	10	6	15	24	R	550	Choose a square with far more dots than the target
14	122	2	2	2	2	34	34	25	16	L	1056	Choose a square with the same number of dots as the target
14	123	3	2	1	1	26	26	35	44	L	1076	Choose a square with the same number of dots as the target
14	124	4	2	2	1	36	54	45	36	M	1208	Choose a square with the same number of dots as the target
14	125	1	3	2	2	10	24	15	6	L	816	Choose a square with far more dots than the target
14	126	2	4	2	1	30	34	25	16	R	733	Choose a square with fewer dots than the target
14	127	3	2	1	2	44	26	35	44	M	784	Choose a square with the same number of dots as the target
14	128	4	2	1	1	36	36	45	54	L	1266	Choose a square with the same number of dots as the target
14	129	1	3	1	1	20	6	15	24	L	735	Choose a square with far fewer dots than the target
14	130	2	1	1	2	30	16	25	34	M	1179	Choose a square with about the same number of dots as the target
14	131	3	4	1	1	40	26	35	44	L	1019	Choose a square with fewer dots than the target
14	132	4	1	1	1	40	36	45	54	L	1618	Choose a square with about the same number of dots as the target
14	133	1	4	2	2	10	24	15	6	L	628	Choose a square with more dots than the target
14	134	2	3	1	1	30	16	25	34	L	686	Choose a square with far fewer dots than the target
14	135	3	3	1	1	40	26	35	44	L	528	Choose a square with far fewer dots than the target
14	136	4	1	1	2	50	36	45	54	M	1718	Choose a square with about the same number of dots as the target
14	137	1	1	2	1	10	24	15	6	M	1649	Choose a square with about the same number of dots as the target
