Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
8	101	1	1	2	1	10	24	15	6	R	5353	Choose a square with about the same number of dots as the target
8	102	2	3	2	2	20	34	25	16	L	4010	Choose a square with far more dots than the target
8	103	3	3	1	2	30	26	35	44	R	3400	Choose a square with far more dots than the target
8	104	4	2	1	1	36	36	45	54	L	3180	Choose a square with the same number of dots as the target
8	105	1	2	1	2	24	6	15	24	R	3045	Choose a square with the same number of dots as the target
8	106	2	1	2	2	30	34	25	16	M	3284	Choose a square with about the same number of dots as the target
8	107	3	1	1	2	40	26	35	44	M	3176	Choose a square with about the same number of dots as the target
8	108	4	3	2	1	50	54	45	36	R	3507	Choose a square with far fewer dots than the target
8	109	1	1	1	2	20	6	15	24	R	5442	Choose a square with about the same number of dots as the target
8	110	2	4	2	2	20	34	25	16	L	3170	Choose a square with more dots than the target
8	111	3	3	1	1	40	26	35	44	L	2630	Choose a square with far fewer dots than the target
8	112	4	1	2	2	50	54	45	36	M	4038	Choose a square with about the same number of dots as the target
8	113	1	4	2	2	10	24	15	6	L	6054	Choose a square with more dots than the target
8	114	2	4	2	1	30	34	25	16	R	4925	Choose a square with fewer dots than the target
8	115	3	4	1	2	30	26	35	44	R	3840	Choose a square with more dots than the target
8	116	4	1	1	2	50	36	45	54	M	6147	Choose a square with about the same number of dots as the target
8	117	1	3	1	2	10	6	15	24	R	2244	Choose a square with far more dots than the target
8	118	2	1	1	2	30	16	25	34	M	5106	Choose a square with about the same number of dots as the target
8	119	3	1	2	2	40	44	35	26	M	4690	Choose a square with about the same number of dots as the target
8	120	4	3	2	2	40	54	45	36	L	3614	Choose a square with far more dots than the target
8	121	1	4	2	1	20	24	15	6	R	4327	Choose a square with fewer dots than the target
8	122	2	1	2	1	20	34	25	16	R	4103	Choose a square with about the same number of dots as the target
8	123	3	2	2	1	26	44	35	26	R	3238	Choose a square with the same number of dots as the target
8	124	4	2	2	1	36	54	45	36	R	4764	Choose a square with the same number of dots as the target
8	125	1	4	1	1	20	6	15	24	L	5647	Choose a square with fewer dots than the target
8	126	2	2	2	1	16	34	25	16	R	9787	Choose a square with the same number of dots as the target
8	127	3	4	2	1	40	44	35	26	R	3100	Choose a square with fewer dots than the target
8	128	4	3	1	1	50	36	45	54	L	4634	Choose a square with far fewer dots than the target
8	129	1	1	2	2	20	24	15	6	L	5974	Choose a square with about the same number of dots as the target
8	130	2	1	1	1	20	16	25	34	M	4079	Choose a square with about the same number of dots as the target
8	131	3	2	2	2	44	44	35	26	M	4711	Choose a square with the same number of dots as the target
8	132	4	4	2	1	50	54	45	36	M	5897	Choose a square with fewer dots than the target
8	133	1	3	2	2	10	24	15	6	L	5400	Choose a square with far more dots than the target
8	134	2	3	1	2	20	16	25	34	R	2507	Choose a square with far more dots than the target
8	135	3	4	2	2	30	44	35	26	M	4792	Choose a square with more dots than the target
8	136	4	4	1	1	50	36	45	54	L	5749	Choose a square with fewer dots than the target
